N,seed,kproj,hyper_w,hyper_M,probes,recall,qps,time_per_query
1,42,12,20,2000,100,0.0,181.263406,0.005516833331488872
1,42,12,20,2000,250,0.0,479.846449,0.002084000000591856
1,42,12,20,2000,500,0.0,206.426753,0.0048443333311549985
1,42,12,20,5000,100,0.08333333333333333,128.307939,0.007793750003263633
1,42,12,20,5000,250,0.08333333333333333,110.495203,0.009050166639360806
1,42,12,20,5000,500,0.08333333333333333,107.783786,0.009277833309733618
1,42,12,20,10000,100,0.08333333333333333,84.860828,0.011784000033560832
1,42,12,20,10000,250,0.08333333333333333,66.221146,0.015100916556170742
1,42,12,20,10000,500,0.08333333333333333,77.355973,0.012927249974607648
1,42,12,40,2000,100,0.0,306.450789,0.0032631666678463018
1,42,12,40,2000,250,0.0,499.271895,0.00200291666728006
1,42,12,40,2000,500,0.0,219.679634,0.004552083330583117
1,42,12,40,5000,100,0.08333333333333333,140.345953,0.00712524998850519
1,42,12,40,5000,250,0.08333333333333333,146.754883,0.006814083317418474
1,42,12,40,5000,500,0.08333333333333333,195.360195,0.0051187500094376955
1,42,12,40,10000,100,0.08333333333333333,67.657854,0.014780250050496725
1,42,12,40,10000,250,0.08333333333333333,82.444196,0.012129416605627398
1,42,12,40,10000,500,0.08333333333333333,71.664895,0.013953833323833098
1,42,12,80,2000,100,0.0,476.776988,0.0020974166647489286
1,42,12,80,2000,250,0.0,208.990056,0.004784916656513073
1,42,12,80,2000,500,0.0,395.56962,0.00252800000161792
1,42,12,80,5000,100,0.08333333333333333,73.385967,0.013626583403881563
1,42,12,80,5000,250,0.08333333333333333,160.627518,0.006225583339960467
1,42,12,80,5000,500,0.08333333333333333,155.692507,0.0064229166789638754
1,42,12,80,10000,100,0.08333333333333333,80.130345,0.01247966672301236
1,42,12,80,10000,250,0.08333333333333333,82.659999,0.012097749964889305
1,42,12,80,10000,500,0.08333333333333333,75.945041,0.013167416684915608
1,42,12,120,2000,100,0.0,354.473754,0.0028210833347057907
1,42,12,120,2000,250,0.0,260.360165,0.0038408333317809964
1,42,12,120,2000,500,0.0,492.408699,0.002030833334242131
1,42,12,120,5000,100,0.08333333333333333,143.841774,0.006952083335679662
1,42,12,120,5000,250,0.08333333333333333,170.022245,0.005881583318700445
1,42,12,120,5000,500,0.08333333333333333,157.996603,0.006329250002925696
1,42,12,120,10000,100,0.08333333333333333,86.929435,0.011503583337450657
1,42,12,120,10000,250,0.08333333333333333,84.345479,0.011856000011571456
1,42,12,120,10000,500,0.08333333333333333,89.711577,0.011146833368005558
1,42,12,300,2000,100,0.0,395.713108,0.0025270833333122743
1,42,12,300,2000,250,0.0,426.515017,0.00234458333268955
1,42,12,300,2000,500,0.0,441.127817,0.002266916665561356
1,42,12,300,5000,100,0.08333333333333333,140.339387,0.00712558335458598
1,42,12,300,5000,250,0.08333333333333333,152.840931,0.0065427499914927885
1,42,12,300,5000,500,0.08333333333333333,160.294943,0.006238499988112539
1,42,12,300,10000,100,0.08333333333333333,86.781073,0.011523250006369475
1,42,12,300,10000,250,0.08333333333333333,81.017581,0.01234299997182093
1,42,12,300,10000,500,0.08333333333333333,52.364017,0.019097083403666303
1,42,12,500,2000,100,0.0,402.131296,0.002486749999184346
1,42,12,500,2000,250,0.0,485.338726,0.002060416666606571
1,42,12,500,2000,500,0.0,197.329474,0.005067666678116214
1,42,12,500,5000,100,0.08333333333333333,166.750042,0.0059969999887616214
1,42,12,500,5000,250,0.08333333333333333,152.977321,0.006536916671458772
1,42,12,500,5000,500,0.08333333333333333,106.578562,0.009382749975553245
1,42,12,500,10000,100,0.08333333333333333,74.634292,0.013398666661164281
1,42,12,500,10000,250,0.08333333333333333,92.000552,0.010869500000391302
1,42,12,500,10000,500,0.08333333333333333,78.01732,0.012817666641202236
1,42,12,1000,2000,100,0.0,224.13149,0.004461666676110527
1,42,12,1000,2000,250,0.0,265.527847,0.0037660833366377575
1,42,12,1000,2000,500,0.0,146.115163,0.006843916671399806
1,42,12,1000,5000,100,0.08333333333333333,102.560596,0.009750333354147045
1,42,12,1000,5000,250,0.08333333333333333,127.422352,0.007847916666928264
