N,seed,pq_kclusters,pq_nprobe,pq_M,nbits,recall,qps,time_per_query
1,42,200,50,8,8,0.08333333333333333,62.691667,0.015951083259598122
1,42,200,50,16,8,0.08333333333333333,64.003755,0.015624083305737297
1,42,200,100,8,8,0.0,31.573713,0.031671916445177035
1,42,200,100,16,8,0.08333333333333333,23.783287,0.04204633278823066
1,42,500,50,8,8,0.25,56.834059,0.017595083258086494
1,42,500,50,16,8,0.08333333333333333,42.968708,0.023272750020782565
1,42,500,100,8,8,0.08333333333333333,67.728499,0.014764833338473957
1,42,500,100,16,8,0.16666666666666666,26.488897,0.037751666292484734
1,42,500,250,8,8,0.0,23.86483,0.04190266597331722
1,42,500,250,16,8,0.08333333333333333,17.368524,0.05757541631056271
1,42,1000,50,8,8,0.08333333333333333,62.73001,0.015941333342685583
1,42,1000,50,16,8,0.16666666666666666,57.17117,0.017491333481543234
1,42,1000,100,8,8,0.08333333333333333,30.72708,0.03254458282401061
1,42,1000,100,16,8,0.08333333333333333,34.185794,0.02925191674647077
1,42,1000,250,8,8,0.16666666666666666,23.632002,0.042315500819608935
1,42,1000,250,16,8,0.08333333333333333,16.158852,0.0618855844462218
1,42,1000,500,8,8,0.0,20.866299,0.0479241670983436
1,42,1000,500,16,8,0.16666666666666666,15.198531,0.0657958325051283
1,42,5000,50,8,8,0.0,49.94215,0.02002316680399222
1,42,5000,50,16,8,0.0,45.86665,0.021802333503754906
1,42,5000,100,8,8,0.25,37.914932,0.026374833007744812
1,42,5000,100,16,8,0.08333333333333333,27.550486,0.03629700035055643
1,42,5000,250,8,8,0.0,25.306365,0.03951575028653859
1,42,5000,250,16,8,0.08333333333333333,14.277963,0.07003800191946148
1,42,5000,500,8,8,0.0,25.151749,0.039758666484784023
1,42,5000,500,16,8,0.08333333333333333,13.96466,0.07160933384701096
1,42,5000,1500,8,8,0.08333333333333333,24.748544,0.04040641744419389
1,42,5000,1500,16,8,0.16666666666666666,14.201167,0.07041674814471233
10,42,200,50,8,8,0.19166666666666668,52.684957,0.018980750045976123
10,42,200,50,16,8,0.21666666666666667,61.65735,0.016218666549892267
10,42,200,100,8,8,0.16666666666666666,37.482898,0.026678833637676574
10,42,200,100,16,8,0.19166666666666665,29.545589,0.033845999820819275
10,42,500,50,8,8,0.25,96.840576,0.0103262500214786
10,42,500,50,16,8,0.18333333333333335,56.193982,0.017795499881108266
10,42,500,100,8,8,0.16666666666666666,53.569994,0.01866716654849728
10,42,500,100,16,8,0.26666666666666666,35.60535,0.028085666901181985
10,42,500,250,8,8,0.16666666666666666,25.777736,0.03879316631995921
10,42,500,250,16,8,0.19999999999999998,15.327648,0.06524158174822386
10,42,1000,50,8,8,0.15,81.327812,0.012295916678540424
10,42,1000,50,16,8,0.21666666666666667,67.740351,0.014762250050933453
10,42,1000,100,8,8,0.16666666666666666,57.036118,0.01753275003744119
10,42,1000,100,16,8,0.23333333333333336,39.816182,0.025115416641404743
10,42,1000,250,8,8,0.20000000000000004,23.346485,0.042833000342449835
10,42,1000,250,16,8,0.225,16.154806,0.06190108380131584
10,42,1000,500,8,8,0.20833333333333334,23.013194,0.043453333770184184
10,42,1000,500,16,8,0.19999999999999998,13.706641,0.07295733506115758
10,42,5000,50,8,8,0.19166666666666668,71.808558,0.013925916741010172
10,42,5000,50,16,8,0.19166666666666668,52.398315,0.019084583158828678
10,42,5000,100,8,8,0.24166666666666667,33.215602,0.030106333764476106
10,42,5000,100,16,8,0.16666666666666666,36.834561,0.027148416401650614
10,42,5000,250,8,8,0.20833333333333334,26.087637,0.038332333434415694
10,42,5000,250,16,8,0.19999999999999998,14.379162,0.06954508197348357
10,42,5000,500,8,8,0.19999999999999998,22.36036,0.04472199910913778
10,42,5000,500,16,8,0.22499999999999998,16.910245,0.05913574877241578
10,42,5000,1500,8,8,0.19166666666666668,21.962495,0.04553216745183095
10,42,5000,1500,16,8,0.225,23.216984,0.04307191666238819
50,42,200,50,8,8,0.25878787878787884,51.148061,0.019551083275669043
50,42,200,50,16,8,0.257979797979798,42.247273,0.02367016682946613
50,42,200,100,8,8,0.22545454545454544,34.747056,0.028779416592876243
50,42,200,100,16,8,0.292979797979798,30.974696,0.03228441693180782
50,42,500,50,8,8,0.21712121212121213,88.191199,0.011338999938077722
50,42,500,50,16,8,0.29464646464646466,72.160485,0.013857999984340461
50,42,500,100,8,8,0.28045454545454546,54.995669,0.018183250030106915
50,42,500,100,16,8,0.2887878787878788,25.237602,0.03962341588555046
50,42,500,250,8,8,0.2337878787878788,26.945644,0.03711174986205562
50,42,500,250,16,8,0.3004545454545455,15.632878,0.06396774797321389
50,42,1000,50,8,8,0.27545454545454545,91.520615,0.010926500002212616
50,42,1000,50,16,8,0.3055050505050505,55.189922,0.01811925010511883
50,42,1000,100,8,8,0.27545454545454545,45.649941,0.02190583335036512
50,42,1000,100,16,8,0.2504545454545455,31.65993,0.031585666803432604
50,42,1000,250,8,8,0.26085858585858585,19.501953,0.051276915701724844
50,42,1000,250,16,8,0.29383838383838384,14.264555,0.07010383429416481
50,42,1000,500,8,8,0.2787878787878788,21.521267,0.046465665799323055
50,42,1000,500,16,8,0.32964646464646463,15.846877,0.06310391631108137
50,42,5000,50,8,8,0.2671212121212121,86.909288,0.011506250056955937
50,42,5000,50,16,8,0.29878787878787877,49.541125,0.020185250133096494
50,42,5000,100,8,8,0.26212121212121214,53.142257,0.0188174168063656
50,42,5000,100,16,8,0.2513131313131313,27.03001,0.03699591676066712
50,42,5000,250,8,8,0.2671212121212121,19.417162,0.05150083209894422
50,42,5000,250,16,8,0.2871212121212121,12.910945,0.07745366431349526
50,42,5000,500,8,8,0.28045454545454546,18.938258,0.05280316700722949
50,42,5000,500,16,8,0.32717171717171717,14.474625,0.0690864184737083
50,42,5000,1500,8,8,0.22712121212121214,19.881803,0.05029724919817383
