N,seed,nlsh_T,nlsh_m,nlsh_layers,nlsh_nodes,nlsh_epochs,nlsh_batch_size,nlsh_lr,recall,qps,time_per_query
1,42,1000,1800,5,128,8,512,0.001,0.16666666666666666,70.25344375,0.014234177666201595
1,42,1000,1800,5,256,8,512,0.001,0.16666666666666666,76.68445603,0.013040452417225028
1,42,1000,1800,5,512,8,512,0.001,0.16666666666666666,74.50467337,0.01342197683404192
1,42,1000,1800,10,128,8,512,0.001,0.16666666666666666,71.88474776,0.013911156833139036
1,42,1000,1800,10,256,8,512,0.001,0.16666666666666666,60.5262897,0.016521746252025755
1,42,1000,1800,10,512,8,512,0.001,0.16666666666666666,65.48214987,0.015271337333689775
1,42,1000,1800,15,128,8,512,0.001,0.16666666666666666,74.3453695,0.013450736834390202
1,42,1000,1800,15,256,8,512,0.001,0.16666666666666666,70.97328961,0.01408980766560244
1,42,1000,1800,15,512,8,512,0.001,0.16666666666666666,75.17587254,0.013302140250755512
1,42,1000,2000,5,128,8,512,0.001,0.16666666666666666,77.94481553,0.012829589668027533
1,42,1000,2000,5,256,8,512,0.001,0.16666666666666666,69.52239201,0.01438385491477568
1,42,1000,2000,5,512,8,512,0.001,0.16666666666666666,78.21591326,0.012785122084758741
1,42,1000,2000,10,128,8,512,0.001,0.16666666666666666,75.14592823,0.013307440916017281
1,42,1000,2000,10,256,8,512,0.001,0.16666666666666666,75.39471915,0.013263528417825535
1,42,1000,2000,10,512,8,512,0.001,0.16666666666666666,78.25723333,0.01277837149932374
1,42,1000,2000,15,128,8,512,0.001,0.16666666666666666,68.12083224,0.014679797165085252
1,42,1000,2000,15,256,8,512,0.001,0.16666666666666666,67.74050228,0.014762217083460339
1,42,1000,2000,15,512,8,512,0.001,0.16666666666666666,75.34049761,0.013273074000340413
1,42,1000,2200,5,128,8,512,0.001,0.16666666666666666,71.93808146,0.013900843332276433
1,42,1000,2200,5,256,8,512,0.001,0.16666666666666666,74.9098619,0.013349377166586393
1,42,1000,2200,5,512,8,512,0.001,0.16666666666666666,64.87216141,0.015414932665490788
1,42,1000,2200,10,128,8,512,0.001,0.16666666666666666,75.29207301,0.013281610666599443
1,42,1000,2200,10,256,8,512,0.001,0.16666666666666666,74.36573742,0.01344705283230418
1,42,1000,2200,10,512,8,512,0.001,0.16666666666666666,75.81095356,0.013190706000137007
1,42,1000,2200,15,128,8,512,0.001,0.16666666666666666,72.93669032,0.013710520666795182
1,42,1000,2200,15,256,8,512,0.001,0.16666666666666666,72.41272021,0.013809728416498607
1,42,1000,2200,15,512,8,512,0.001,0.16666666666666666,59.999517,0.016666800834413385
1,42,1500,1800,5,128,8,512,0.001,0.16666666666666666,60.76485975,0.016456879915698316
1,42,1500,1800,5,256,8,512,0.001,0.16666666666666666,59.55069566,0.016792415082930702
1,42,1500,1800,5,512,8,512,0.001,0.16666666666666666,62.64713593,0.015962421667885498
1,42,1500,1800,10,128,8,512,0.001,0.16666666666666666,65.47141612,0.015273841002112114
1,42,1500,1800,10,256,8,512,0.001,0.16666666666666666,63.73718118,0.015689429332870913
1,42,1500,1800,10,512,8,512,0.001,0.16666666666666666,62.84973784,0.015910965333630418
1,42,1500,1800,15,128,8,512,0.001,0.16666666666666666,53.97235935,0.018528002333846463
1,42,1500,1800,15,256,8,512,0.001,0.16666666666666666,59.70323106,0.016749512249932156
1,42,1500,1800,15,512,8,512,0.001,0.16666666666666666,58.1888347,0.017185427499203727
1,42,1500,2000,5,128,8,512,0.001,0.16666666666666666,62.60754019,0.015972516999793025
1,42,1500,2000,5,256,8,512,0.001,0.16666666666666666,60.12851237,0.016631045083013416
1,42,1500,2000,5,512,8,512,0.001,0.16666666666666666,63.35077217,0.01578512724859183
1,42,1500,2000,10,128,8,512,0.001,0.16666666666666666,59.88924891,0.016697487749475267
1,42,1500,2000,10,256,8,512,0.001,0.16666666666666666,63.14240391,0.015837217750298983
1,42,1500,2000,10,512,8,512,0.001,0.16666666666666666,61.14990375,0.016353255502875585
1,42,1500,2000,15,128,8,512,0.001,0.16666666666666666,64.31425247,0.015548653083800665
1,42,1500,2000,15,256,8,512,0.001,0.16666666666666666,64.11550537,0.015596851248838563
1,42,1500,2000,15,512,8,512,0.001,0.16666666666666666,54.1087968,0.018481283250415946
1,42,1500,2200,5,128,8,512,0.001,0.16666666666666666,64.64582733,0.015468902500006104
1,42,1500,2200,5,256,8,512,0.001,0.16666666666666666,64.6129178,0.0154767813317974
1,42,1500,2200,5,512,8,512,0.001,0.16666666666666666,63.26716546,0.015805987082386983
1,42,1500,2200,10,128,8,512,0.001,0.16666666666666666,61.50601917,0.01625857133162923
1,42,1500,2200,10,256,8,512,0.001,0.16666666666666666,55.90319215,0.0178880661647512
1,42,1500,2200,10,512,8,512,0.001,0.16666666666666666,62.1692837,0.016085113748865662
1,42,1500,2200,15,128,8,512,0.001,0.16666666666666666,64.39113304,0.015530088581898326
1,42,1500,2200,15,256,8,512,0.001,0.16666666666666666,56.19826467,0.017794143749314456
1,42,1500,2200,15,512,8,512,0.001,0.16666666666666666,56.27059829,0.017771270084002512
10,42,1000,1800,5,128,8,512,0.001,0.2333333333333333,76.98827564,0.012988990748098278
10,42,1000,1800,5,256,8,512,0.001,0.2333333333333333,78.46313935,0.012744838000163447
10,42,1000,1800,5,512,8,512,0.001,0.2333333333333333,75.22445143,0.013293549916153904
10,42,1000,1800,10,128,8,512,0.001,0.2333333333333333,64.04558816,0.015613878000492082
10,42,1000,1800,10,256,8,512,0.001,0.2333333333333333,77.07549866,0.012974291667073855
10,42,1000,1800,10,512,8,512,0.001,0.2333333333333333,70.21596635,0.014241775083111136
10,42,1000,1800,15,128,8,512,0.001,0.2333333333333333,73.6190145,0.013583447249215758
10,42,1000,1800,15,256,8,512,0.001,0.2333333333333333,77.39325633,0.012921022417457958
10,42,1000,1800,15,512,8,512,0.001,0.2333333333333333,70.67470704,0.014149333501078776
10,42,1000,2000,5,128,8,512,0.001,0.2333333333333333,76.95154406,0.012995190833601579
10,42,1000,2000,5,256,8,512,0.001,0.2333333333333333,71.78848771,0.013929810083751102
10,42,1000,2000,5,512,8,512,0.001,0.2333333333333333,70.70894128,0.014142482999994366
10,42,1000,2000,10,128,8,512,0.001,0.2333333333333333,73.51571361,0.013602534082781108
10,42,1000,2000,10,256,8,512,0.001,0.2333333333333333,71.97964459,0.013892816583022253
10,42,1000,2000,10,512,8,512,0.001,0.2333333333333333,71.92864937,0.01390266616652307
10,42,1000,2000,15,128,8,512,0.001,0.2333333333333333,74.72937784,0.013381618165496559
10,42,1000,2000,15,256,8,512,0.001,0.2333333333333333,76.14988903,0.013131995499114124
10,42,1000,2000,15,512,8,512,0.001,0.2333333333333333,74.52897734,0.01341759991470185
10,42,1000,2200,5,128,8,512,0.001,0.2333333333333333,59.27176985,0.016871438165769567
10,42,1000,2200,5,256,8,512,0.001,0.2333333333333333,78.07167288,0.012808743083256961
